2020-07-14 13:49:49.174692,3.7.7,2.0.0,1.18.5,0.224593,0.933,12.658
2020-07-14 13:50:00.182105,3.7.7,2.0.0,1.18.5,0.259520,0.924,8.403
2020-07-14 13:56:57.565347,3.7.7,2.0.0,1.18.5,0.213878,0.934,11.161
2020-07-14 13:58:36.153259,3.7.7,2.0.0,1.18.5,0.230530,0.934,9.885
2020-07-14 13:58:45.472451,3.7.7,2.0.0,1.18.5,0.252534,0.925,6.865
2020-07-15 13:50:37.048221,3.7.7,2.0.0,1.18.5,0.234341,0.931,6.416
2020-07-15 13:51:38.494868,3.7.7,2.0.0,1.18.5,0.223017,0.937,5.370
2020-07-15 13:58:33.722925,3.7.7,2.0.0,1.18.5,0.222897,0.936,7.080
2020-07-15 14:04:44.676454,3.7.7,2.0.0,1.18.5,0.232713,0.934,9.410
2020-07-15 15:45:37.792979,3.7.7,2.0.0,1.18.5,0.232056,0.933,8.633
2020-07-15 15:51:35.591177,3.7.7,2.0.0,1.18.5,0.229787,0.932,7.864
2020-07-15 15:57:23.696955,3.7.7,2.0.0,1.18.5,0.238233,0.932,8.378
2020-07-15 16:00:00.516134,3.7.7,2.0.0,1.18.5,0.232165,0.930,8.051
2020-07-15 16:00:45.737754,3.7.7,2.0.0,1.18.5,0.226186,0.936,8.073
2020-07-15 16:04:06.360956,3.7.7,2.0.0,1.18.5,0.226940,0.935,8.227
2020-07-15 16:06:17.250451,3.7.7,2.0.0,1.18.5,0.217183,0.939,8.253
2020-07-15 16:09:58.658584,3.7.7,2.0.0,1.18.5,0.219607,0.939,8.277
2020-07-15 16:15:48.673860,3.7.7,2.0.0,1.18.5,0.237060,0.930,8.297
2020-07-15 16:45:48.626755,3.7.7,2.0.0,1.18.5,0.232458,0.930,8.272
2020-07-15 16:48:47.993836,3.7.7,2.0.0,1.18.5,0.226804,0.936,7.919
2020-07-15 21:16:50.001543,3.7.7,2.0.0,1.18.5,0.247025,0.924,8.149
2020-07-15 23:22:18.072487,3.7.7,2.0.0,1.18.5,0.231380,0.931,8.304
2020-07-16 09:32:51.956175,3.7.7,2.0.0,1.18.5,0.258373,0.927,11.225
